item_a,item_b,co_occurrence
CNS Physiology,Neonatology,7
SUBJ:Biochemistry,SUBJ:Ophthalmology,7
Injuries & Trauma,Thanatology,7
Legal Procedures,Medical Jurisprudence,7
Bacteriology,Culture media,7
Culture Media,Culture media,7
Retina,Vascular,7
Infectious Diseases,Urology,7
Antenatal Care,Infectious Diseases,7
Endocrine Pharmacology,Gynecologic Oncology,7
Cardiology,Rheumatology,7
Airway Management,Regional Anaesthesia,7
Abdomen,Gastrointestinal,7
Cardiology,Cardiomyopathies,7
Autoimmune diseases,Rheumatology,7
Endocrinology,Gynecologic Oncology,7
Fractures,Vascular,7
Hematopathology,Neoplasia,7
Brainstem Syndromes,Neurology,7
Cell Physiology,Cell physiology,7
Renal,Systemic Pathology,7
Epidemiology,Health Indicators,7
Cardiology,Pericardial Diseases,7
Electrolyte Imbalance,Nephrology,7
Cardiology,Neurology,7
Antenatal Care,Ultrasound,7
Antenatal Care,General Medicine,7
SUBJ:Dermatology,SUBJ:OBG,7
SUBJ:Radiology,SUBJ:Pharmacology,7
Nematodes,Parasitology,7
Epidemiology,Public Health,7
Environmental Health,Water Purification,7
Head And Neck Anatomy,Neuroanatomy,7
Head and Neck Anatomy,Neuroanatomy,7
SUBJ:Pharmacology,SUBJ:ENT,7
Endocrinology,Thyroid Disorders,7
Endocrinology,Nephrology,7
Bronchial Asthma,Pulmonology,7
Epidemiological Study Designs,Study Designs,7
Gastrointestinal,General Medicine,7
Hand,Upper Limb,7
Inflammation & Healing,Renal,7
Epidemiology,Nose & PNS,7
Gastroenterology,Hepatology,7
Inhalational Anaesthetics,Regional Anaesthesia,7
Environment & Occupational Health,Epidemiology,7
General Surgery,Systemic Pathology,7
Neuroanatomy,Trauma,7
Gastroenterology,Pancreatitis,7
Gastroenterology,Gynecologic Oncology,7
Mediastinum,Thorax,7
Neonatal Resuscitation,Neonatology,7
Hepatitis,Virology,7
Interventional Radiology,Neuroimaging,7
Obstetric Complications,Regional Anaesthesia,7
Antiplatelet Drugs,Antiplatelet drugs,7
Antiarrhythmic Drugs,Antiarrhythmic drugs,7
Abdomen,Health Care Delivery,7
Embryology,Histology,7
Environment & Occupational Health,Rhinology,7
Sexual Assault,Thanatology,7
Bacteriology,Chlamydia,7
Biomedical Waste Management,Biomedical waste management,7
Cartilage,Histology,7
Neurophysiology,Sleep,7
Cardiology,Genetics & Molecular Biology,7
Helminths,Parasitology,7
Interventional Radiology,Trauma,7
Neoplasia,Otology,7
Amino Acid Metabolism,Vitamins & Nutrition,7
SUBJ:Radiology,SUBJ:Microbiology,7
Urinary System,Urinary system,7
Adverse Drug Reactions,Adverse drug reactions,7
Cestodes,Parasitology,7
Vaccines,Virology,7
Spinal Tuberculosis,Spinal tuberculosis,7
Osteology,Upper Limb,7
Facial Nerve,Head and Neck,7
Cardiology,Hematopathology,7
