item_a,item_b,co_occurrence
Dermatology,Nevi and Moles,1
Nevi And Moles,Nevi and Moles,1
Nevi And Moles,Skin Lesions,1
Nevi and Moles,Skin Lesions,1
Brain MRI,Brain Mri,1
Brain MRI,Interventional Radiology,1
Brain MRI,Neuroimaging,1
Brain Mri,Interventional Radiology,1
Brain Mri,Neuroimaging,1
Bone Imaging,Interventional Radiology,1
Bone Imaging,X-ray,1
Aortic Imaging,Interventional Radiology,1
Aortic Imaging,Thoracic Imaging,1
Abdominal Imaging,Vascular,1
General Medicine,Liver Pathology,1
Liver Pathology,Systemic Pathology,1
General Surgery,Imaging Interpretation,1
Imaging Interpretation,Interventional Radiology,1
Embryology,Systemic Pathology,1
Gout,Rheumatology,1
Rheumatology,Toxicology,1
Cardiovascular Drugs,Endocrine Pharmacology,1
Cardiovascular Drugs,Osteoporosis,1
Amino Acid Metabolism,Enzymes,1
Enzymes,Metabolic disorders,1
Classification,Organ donation,1
Classification,Transplantation,1
Organ donation,Transplantation,1
Cardiogenic Shock,Shock,1
Cardiology,Cell signaling,1
General Pathology,Introduction To Pathology,1
General Pathology,Introduction to Pathology,1
Fluid & Electrolyte Balance,Paediatric Gastroenteritis,1
Gastroenterology,Paediatric Gastroenteritis,1
Neonatal Resuscitation,Resuscitation,1
Neonatology,Resuscitation,1
Alzheimer'S Disease,Dementia,1
Alzheimer'S Disease,Neurocognitive Disorders,1
Alzheimer's Disease,Dementia,1
Alzheimer's Disease,Neurocognitive Disorders,1
Dementia,Neurocognitive Disorders,1
Coagulation,Vitamin K,1
General Medicine,HIV/AIDS,1
General Medicine,Hiv/Aids,1
HIV/AIDS,Microbiology,1
Hiv/Aids,Microbiology,1
General Surgery,Radiation Oncology,1
Cognitive Disorders,General Medicine,1
Surgical Techniques,Vascular,1
Intraoperative Complications,Intraoperative Management,1
Intraoperative Management,Oculocardiac Reflex,1
Ligaments,Spinal Ligaments,1
Musculoskeletal Anatomy,Spinal Ligaments,1
Auditory Implants,Otology,1
Auditory Implants,Surgical Procedures,1
Otology,Surgical Procedures,1
Growth & Development,Renal,1
Genetic disorders,Inherited Immunodeficiency,1
Genetic disorders,Inherited immunodeficiency,1
Inherited Immunodeficiency,Inherited immunodeficiency,1
Endophthalmitis,Post-operative Complications,1
Infectious Diseases,Post-operative Complications,1
Glaucoma,Optic Disc Anatomy,1
Glaucoma,Optic Nerve,1
Optic Disc Anatomy,Optic Nerve,1
Coagulation Disorders,Hypercoagulable States,1
Genetics & Molecular Biology,Hypercoagulable States,1
Pelvic Ligaments,Uterine Anatomy,1
Pelvic Ligaments,Uterine Support,1
Uterine Anatomy,Uterine Support,1
Pelvic Inflammatory Disease,Pelvic Inflammatory Disease Complications,1
Pelvic Inflammatory Disease,Uterine Pathology,1
Pelvic Inflammatory Disease Complications,Uterine Pathology,1
Stroke Syndromes,Vascular,1
Histology,Neurology,1
Health Care Delivery,Liver Anatomy,1
Cystic Fibrosis,Genetic Disorders,1
Cardiology,Tetralogy Of Fallot,1
Cardiology,Tetralogy of Fallot,1
Abdominal Muscles,Hernia & Abdominal Wall,1
Abdominal Muscles,Musculoskeletal,1
Hernia & Abdominal Wall,Musculoskeletal,1
Neuroanatomy,Spinal Cord Tracts,1
Spinal Cord,Spinal Cord Tracts,1
Histology,Kidney,1
Head & Neck,Joints & Arthritis,1
Arteries,Coronary Arteries,1
Cardiology,Coronary Arteries,1
Cardiac Reflexes,Cardiology,1
Cardiac Reflexes,Reflexes,1
Cardiology,Reflexes,1
Muscle Receptors,Neurophysiology,1
Muscle Receptors,Sensory System,1
Neurophysiology,Sensory System,1
Endocrine,Menstrual Cycle Hormones,1
Menstrual Cycle Hormones,Reproductive,1
Chemoreceptors,Neurophysiology,1
Lung Volumes,Pulmonology,1
Fluid Electrolyte Balance,Renal,1
GFR Regulation,Renal,1
Endocrine,Thyroid Disorders,1
Lung Function Tests,Obstructive Lung Disease,1
Lung Function Tests,Pulmonology,1
Obstructive Lung Disease,Pulmonology,1
Biochemistry,Insulin Synthesis,1
Endocrinology,Insulin Synthesis,1
Autonomic,Nerve Conduction,1
ADH Action,Adh Action,1
ADH Action,Endocrine,1
ADH Action,Renal,1
Adh Action,Endocrine,1
Adh Action,Renal,1
Brainstem Lesions,Neurology,1
Brainstem Lesions,Neurophysiology,1
Neurology,Neurophysiology,1
Cell Biology,Metabolic Disorders,1
Cell Biology,Peroxisomal Disorders,1
Amino Acid Metabolism,Arginine Metabolism,1
Amino Acid Metabolism,Nitrogen Metabolism,1
Arginine Metabolism,Nitrogen Metabolism,1
Carbohydrate Metabolism,NADPH Production,1
Carbohydrate Metabolism,Nadph Production,1
Carbohydrate Metabolism,Redox Metabolism,1
NADPH Production,Nadph Production,1
NADPH Production,Redox Metabolism,1
Nadph Production,Redox Metabolism,1
Lipid Metabolism,Neurobiochemistry,1
Ammonia Metabolism,Carbohydrate Metabolism,1
Diabetes Mellitus,Lipid Metabolism,1
Liver Physiology,Protein Metabolism,1
Liver Physiology,Protein Synthesis,1
Protein Metabolism,Protein Synthesis,1
Cholesterol Metabolism,Gallstones,1
Cholesterol Metabolism,Lipid Metabolism,1
Gallstones,Lipid Metabolism,1
Collagen,Protein Structure,1
Connective Tissue,Protein Structure,1
Enzymology,Ribozymes,1
Genetics & Molecular Biology,Ribozymes,1
Genetic Disorders,Hyperlipoproteinemia,1
Amino Acid Metabolism,Metabolic Cycles Linkage,1
Carbohydrate Metabolism,Metabolic Cycles Linkage,1
Histology,Vitamin A Metabolism,1
Vitamin A Metabolism,Vitamins & Nutrition,1
Coagulation disorders,Platelet Disorders,1
Coagulation disorders,Platelet disorders,1
Apoptosis,Cell biology,1
Apoptosis,Genetics & Molecular Biology,1
Cell biology,Genetics & Molecular Biology,1
Enzyme inhibition,Protein Metabolism,1
Enzyme inhibition,Protein function,1
Protein Metabolism,Protein function,1
Genetic Disorders,Inheritance patterns,1
Genetic disorders,Inheritance patterns,1
Cardiology,Rheumatic heart disease,1
Rheumatic heart disease,Valvular Heart Disease,1
Rheumatic heart disease,Valvular heart disease,1
Hematopathology,Lymphoid neoplasms,1
Lymphoid Neoplasms,Lymphoid neoplasms,1
Lymphoid Neoplasms,Lymphoma,1
Lymphoid neoplasms,Lymphoma,1
Hemolytic Anemias,Hemolytic anemia,1
Hemolytic anemia,Hemolytic anemias,1
Lipid Metabolism,Lipoprotein disorders,1
Copper Metabolism,Copper metabolism,1
Copper Metabolism,Inherited metabolic disorders,1
Copper metabolism,Inherited metabolic disorders,1
Chronic Venous Disease,Vascular,1
Antimicrobial Drugs,Pharmacokinetics,1
CNS Drugs,Neurotransmitters,1
CNS Drugs,Psychopharmacology,1
Neurotransmitters,Psychopharmacology,1
Antifungal Drugs,Antimicrobial Drugs,1
Antifungal Drugs,Antimicrobials,1
Anticoagulants,Cardiovascular Drugs,1
Cardiovascular Drugs,Hematopathology,1
Anesthetic Drugs,Neuromuscular Blockers,1
Diuretics,Endocrine,1
Cardiovascular Drugs,Ion Channels,1
Child Psychiatry,Drugs For Substance Abuse,1
Child Psychiatry,Drugs for Substance Abuse,1
Drugs For Substance Abuse,Drugs for Substance Abuse,1
Drugs For Substance Abuse,Endocrine Pharmacology,1
Drugs for Substance Abuse,Endocrine Pharmacology,1
Antiparasitic Drugs,Endocrine Pharmacology,1
Antiparasitic Drugs,Microbiology,1
CNS Physiology,Neuromuscular Blockers,1
Endocrine Pharmacology,Gout Drugs,1
General Medicine,Gout Drugs,1
Cholinergic Drugs,Neuromuscular Junction,1
Amino Acid Metabolism,Catecholamine Synthesis,1
Catecholamine Synthesis,Neurotransmitters,1
Adverse Drug Reactions,Antimicrobials,1
Bacteriology,Corynebacterium Diphtheriae,1
Bacteriology,Corynebacterium diphtheriae,1
Corynebacterium Diphtheriae,Infectious Diseases,1
Corynebacterium diphtheriae,Infectious Diseases,1
Clinical Trials,Phases Of Clinical Trials,1
Clinical Trials,Phases of Clinical Trials,1
Growth & Development,Phases Of Clinical Trials,1
Growth & Development,Phases of Clinical Trials,1
Phases Of Clinical Trials,Phases of Clinical Trials,1
Bites And Stings Management,Bites and Stings Management,1
Bites And Stings Management,Envenomation,1
Bites And Stings Management,Toxicology,1
Bites and Stings Management,Envenomation,1
Bites and Stings Management,Toxicology,1
Envenomation,Toxicology,1
Drugs For Short Bowel Syndrome,Drugs for Short Bowel Syndrome,1
Drugs For Short Bowel Syndrome,Gastrointestinal,1
Drugs For Short Bowel Syndrome,Mechanism of Action,1
Drugs for Short Bowel Syndrome,Gastrointestinal,1
Drugs for Short Bowel Syndrome,Mechanism of Action,1
Gastrointestinal,Mechanism of Action,1
Antiemetic Drugs,Antiemetics,1
Antiemetic Drugs,Chemotherapy Side Effects,1
Antiemetics,Chemotherapy Side Effects,1
Drug Administration,General Pharmacology,1
Growth & Development,Hematopoietic Drugs,1
Hematopathology,Hematopoietic Drugs,1
Osmotic Diuretics,Renal,1
Cardiology,Eicosanoids,1
Soft Tissue Injuries,Trauma,1
Sexual Offenses,Thanatology,1
Legal Aspects,Medical Jurisprudence,1
Poisoning Management,Toxicology,1
Sample Preservation,Toxicology,1
Genetics & Molecular Biology,Identification,1
Intestinal Nematodes,Intestinal Parasites,1
Intestinal Nematodes,Parasitology,1
Intestinal Parasites,Parasitology,1
Antimicrobials,Antiparasitic Agents,1
Antimicrobials,Antiparasitic Drugs,1
Antiparasitic Agents,Antiparasitic Drugs,1
Enteroviruses,Virology,1
Infectious Diseases,Opportunistic Fungi,1
Mycology,Opportunistic Fungi,1
Viral Classification,Virology,1
Mycology,Staining,1
Disaster management,Triage,1
Health Administration,Health administration,1
Health Administration,Health legislation,1
Health Administration,Public health administration,1
Health administration,Health legislation,1
Health administration,Public health administration,1
Health legislation,Public health administration,1
National Health Programs,RCH program,1
Healthcare Administration,Healthcare administration,1
Healthcare Administration,Healthcare delivery system,1
Healthcare Administration,Primary healthcare,1
Healthcare administration,Healthcare delivery system,1
Healthcare administration,Primary healthcare,1
Healthcare delivery system,Primary healthcare,1
Biostatistics,Diagnostic test evaluation,1
Diagnostic test evaluation,Epidemiology,1
Biostatistics,Epidemiological Study Designs,1
Environment & Occupational Health,Occupational Health And Safety,1
Environment & Occupational Health,Occupational Health and Safety,1
Infectious Diseases,Occupational Health And Safety,1
Infectious Diseases,Occupational Health and Safety,1
Occupational Health And Safety,Occupational Health and Safety,1
Biostatistics,Epidemiological Bias,1
Epidemiological Bias,Epidemiology,1
Biostatistics,Data Presentation,1
Data Presentation,Epidemiology,1
Environmental Health,Solid Waste Disposal,1
Solid Waste Disposal,Waste Management,1
Family Health,Genetic Counseling,1
Family Health,Genetics & Molecular Biology,1
Disease Surveillance,Epidemiological Indicators,1
Antitoxins,Endocrine Pharmacology,1
Antitoxins,Infectious Diseases,1
Growth & Development,Head And Neck Anatomy,1
Growth & Development,Head and Neck Anatomy,1
Airway Obstruction,Laryngeal Pathology,1
Airway Obstruction,Throat & Larynx,1
Laryngeal Pathology,Throat & Larynx,1
Biochemistry,Retina,1
Anxiety & OCD,Phobic Disorders,1
Phobias,Phobic Disorders,1
Oculoplastic Surgery,Ptosis Management,1
Oculoplastic Surgery,Squint & Pediatric Ophthalmology,1
Ptosis Management,Squint & Pediatric Ophthalmology,1
Adverse Drug Reactions,Glaucoma,1
Adverse Drug Reactions,Ocular Drugs,1
Glaucoma,Ocular Drugs,1
Antineoplastic Drugs,Pediatric Oncology,1
Myasthenia Gravis,Neuro-ophthalmology,1
Myasthenia Gravis,Ocular Manifestations,1
Myasthenia Gravis,Ocular manifestations,1
Neuro-ophthalmology,Ocular Manifestations,1
Neuro-ophthalmology,Ocular manifestations,1
Ocular Manifestations,Ocular manifestations,1
Cardiac Imaging,Cardiac Imaging Findings,1
Cardiac Imaging,Cardiac imaging findings,1
Cardiac Imaging,Valvular Heart Disease,1
Cardiac Imaging Findings,Cardiac imaging findings,1
Cardiac Imaging Findings,Valvular Heart Disease,1
Cardiac imaging findings,Valvular Heart Disease,1
Arrhythmias,Cardiac Conduction System,1
Arrhythmias,Cardiac conduction system,1
Cardiac Conduction System,Cardiac Electrophysiology,1
Cardiac Conduction System,Cardiac conduction system,1
Cardiac Electrophysiology,Cardiac conduction system,1
Deep Venous Thrombosis (DVT),Deep Venous Thrombosis (Dvt),1
Deep Venous Thrombosis (DVT),Vascular,1
Deep Venous Thrombosis (DVT),Venous Thromboembolism,1
Deep Venous Thrombosis (Dvt),Vascular,1
Deep Venous Thrombosis (Dvt),Venous Thromboembolism,1
Esophageal Disorders,Esophageal Ulcers,1
Esophageal Disorders,Esophageal ulcers,1
Esophageal Disorders,Infectious Diseases,1
Esophageal Ulcers,Esophageal ulcers,1
Esophageal Ulcers,Infectious Diseases,1
Esophageal ulcers,Infectious Diseases,1
Neurology,Spinal cord lesions,1
Spinal Cord Lesions,Spinal cord lesions,1
Spinal Cord Syndromes,Spinal cord lesions,1
Bone Disorders,Genetic Disorders,1
Liver Disease,Liver Disorders,1
Liver Disease,Prognostic Scores,1
Liver Disorders,Prognostic Scores,1
Ischemic Heart Disease,Myocardial Infarction,1
Ischemic Heart Disease,Obstetric Complications,1
Myocardial Infarction,Obstetric Complications,1
Dementia,Neurodegenerative Disorders,1
Dementia,Risk Factors,1
Neurodegenerative Disorders,Risk Factors,1
Autoimmune Diseases,Dermatology,1
Autoimmune Diseases,Systemic Lupus Erythematosus,1
Dermatology,Systemic Lupus Erythematosus,1
Congenital Heart Disease,Infectious Diseases,1
ECG Findings,ECG Interpretation,1
ECG Findings,Ecg Interpretation,1
ECG Findings,Electrolyte Disturbances,1
ECG Interpretation,Electrolyte Disturbances,1
Ecg Interpretation,Electrolyte Disturbances,1
Alcohol Effects,Cardiomyopathies,1
Alcohol Effects,Cardiomyopathy,1
HIV/AIDS,Immunodeficiency,1
Hiv/Aids,Immunodeficiency,1
Diagnostic Criteria,Hematopathology,1
Hematopathology,Infective Endocarditis,1
Cardiac Murmurs,Cardiology,1
Cardiac Murmurs,Heart Murmurs,1
Biliary Atresia,Gastroenterology,1
Biliary Atresia,Liver Transplant,1
Gastroenterology,Liver Transplant,1
Biliary System Diseases,Cholelithiasis,1
Cholelithiasis,Gallstones,1
Esophageal Diseases,Esophageal Ulcers,1
Esophageal Diseases,Infectious Esophagitis,1
Esophageal Ulcers,Infectious Esophagitis,1
Abdominal Wall Defects,Congenital Anomalies,1
Congenital Anomalies,Embryology,1
Endoscopy,Esophageal Surgery,1
Endoscopy,Gastrointestinal Surgery,1
Genitourinary Anatomy,Male Genital System Anatomy,1
Genitourinary Anatomy,Pelvic Anatomy,1
Male Genital System Anatomy,Pelvic Anatomy,1
Esophageal Pathology,Gastrointestinal,1
Esophageal Pathology,Neoplasia,1
Breast & Endocrine Surgery,Surgical Techniques,1
Cranial Nerves,Peripheral Neuropathy,1
Gastroenterology,Neurology,1
Neurology,Peptic Ulcer Disease,1
Gastroenterology,Pediatric Abdominal Emergencies,1
Interventional Radiology,Pediatric Abdominal Emergencies,1
Preventive Medicine,Vaccination,1
APGAR Score,Apgar Score,1
APGAR Score,Neonatology,1
APGAR Score,Newborn Assessment,1
Apgar Score,Neonatology,1
Apgar Score,Newborn Assessment,1
Neonatology,Newborn Assessment,1
Congenital Heart Disease,Patent Ductus Arteriosus,1
Fragile X Syndrome,Growth & Development,1
Common Peroneal Nerve,Lower Limb,1
Common Peroneal Nerve,Peripheral Nerves,1
Head & Neck,Rhinosinusitis Complications,1
Head & Neck,Rhinosinusitis complications,1
Head & Neck,Sinusitis,1
Rhinosinusitis Complications,Rhinosinusitis complications,1
Rhinosinusitis Complications,Sinusitis,1
Rhinosinusitis complications,Sinusitis,1
Gait abnormalities,Neurology,1
Gynecologic Oncology,Musculoskeletal pathology,1
Musculoskeletal pathology,Neoplasia,1
Bone disorders,Spinal Imaging,1
Bone disorders,Spinal imaging,1
Bone disorders,Spine,1
Spinal Imaging,Spinal imaging,1
Spinal Imaging,Spine,1
Spinal imaging,Spine,1
Dislocations,Hip Dislocations,1
Dislocations,Hip dislocations,1
Dislocations,Hip injuries,1
Hip Dislocations,Hip dislocations,1
Hip Dislocations,Hip injuries,1
Hip dislocations,Hip injuries,1
Infectious Diseases,Tenosynovitis,1
Epidemiology,Septic Arthritis,1
Epidemiology,Septic arthritis,1
Rotator cuff,Shoulder Pathology,1
Rotator cuff,Shoulder pain,1
Rotator cuff,Shoulder pathology,1
Shoulder Pathology,Shoulder pain,1
Shoulder Pathology,Shoulder pathology,1
Shoulder pain,Shoulder pathology,1
Antenatal Care,Physiological changes,1
Antenatal Care,Diagnosis,1
Antenatal Care,Gestational diabetes,1
Diagnosis,Gestational diabetes,1
Eclampsia,Pre-eclampsia,1
Infectious Diseases,Vaginal discharge,1
Contraception,OCP contraindications,1
Acute fatty liver,Antenatal Care,1
Gynaecological Surgery,Pelvic Organ Prolapse,1
Genetics & Molecular Biology,Gestational Trophoblastic Disease,1
Menopause,Vulvar Disorders,1
Sexual Disorders,Sexual Response Cycle,1
Breast & Endocrine Surgery,Postpartum Complications,1
Antenatal Care,Antiphospholipid Syndrome,1
Abnormal Uterine Bleeding,Airway Management,1
Abnormal Uterine Bleeding,Uterine Fibroids,1
Airway Management,Uterine Fibroids,1
Endocrinology,Ovarian Reserve Assessment,1
Infertility,Ovarian Reserve Assessment,1
Fetal Anatomy,Fetal Head Diameters,1
Fetal Anatomy,Labor & Delivery,1
Amniotic Fluid,Amniotic Fluid Dynamics,1
Amniotic Fluid Dynamics,Growth & Development,1
Embryology,Integumentary System,1
Inhalational Anaesthetics,Side Effects,1
Drug Administration,Intravenous Anaesthetics,1
Anaesthetic Agents,Cardiology,1
Anaesthetic Monitoring,Depth of Anaesthesia,1
Genetic Disorders,Liver Metabolism,1
Genetic Disorders,Transport Proteins,1
Liver Metabolism,Transport Proteins,1
Contrast Agents,Radiographic Contrast Agents,1
Contrast Agents,Radiographic Principles,1
Radiographic Contrast Agents,Radiographic Principles,1
Bone Lesions,Gynecologic Oncology,1
Bone Lesions,Skeletal Radiology,1
Gynecologic Oncology,Skeletal Radiology,1
CNS Physiology,Child Psychiatry,1
CNS Physiology,Sleep Disorders,1
Dermatology,Skin Conditions,1
SUBJ:ENT,SUBJ:Ophthalmology,1
Barium Studies,Contrast Studies,1
Barium Studies,Gastrointestinal,1
Contrast Studies,Gastrointestinal,1
Connective Tissue Disorders,Lupus Erythematosus,1
Connective Tissue Disorders,SLE,1
Connective tissue disorders,SLE,1
Infestations,Scabies,1
Alopecia,Hair disorders,1
Metabolic Skin Manifestations,Pigmentary Disorders,1
Autoimmune Diseases,Juvenile Idiopathic Arthritis,1
Antenatal Care,Gestational Diabetes,1
Gestational Diabetes,Growth & Development,1
Benign Uterine Conditions,Pelvic Pain,1
Benign Uterine Conditions,Uterine Disorders,1
Pelvic Pain,Uterine Disorders,1
Antepartum Hemorrhage,Placental Abnormalities,1
Placenta Praevia,Placental Abnormalities,1
Imaging,Urinary Tract Anomalies,1
Imaging,Urology,1
Urinary Tract Anomalies,Urology,1
Abdominal Anatomy,Anatomical Triangles,1
Anatomical Triangles,Surgical Anatomy,1
Basic Surgical Skills,Surgical Blades,1
Basic Surgical Skills,Surgical Instruments,1
Surgical Blades,Surgical Instruments,1
Basic Surgical Skills,Surgical Knots,1
Basic Surgical Skills,Surgical Techniques,1
Surgical Knots,Surgical Techniques,1
Abdominal Emergencies,Perforated Viscus,1
Perforated Viscus,Shock,1
Conjunctiva,Conjunctival Disorders,1
Conjunctiva,Squint & Pediatric Ophthalmology,1
Conjunctival Disorders,Conjunctival disorders,1
Conjunctival Disorders,Squint & Pediatric Ophthalmology,1
Conjunctival disorders,Squint & Pediatric Ophthalmology,1
Environment & Occupational Health,Vertigo,1
Otology,Vertigo,1
Environment & Occupational Health,Middle Ear Diseases,1
Environment & Occupational Health,Middle ear diseases,1
Middle Ear Diseases,Middle ear diseases,1
Middle Ear Diseases,Otology,1
Middle ear diseases,Otology,1
Ocular motility,Strabismus Diagnosis,1
Ocular motility,Strabismus diagnosis,1
Squint & Pediatric Ophthalmology,Strabismus Diagnosis,1
Squint & Pediatric Ophthalmology,Strabismus diagnosis,1
Strabismus Diagnosis,Strabismus diagnosis,1
Environment & Occupational Health,Vocal Cord Lesions,1
Environment & Occupational Health,Vocal cord lesions,1
Laryngology,Vocal Cord Lesions,1
Laryngology,Vocal cord lesions,1
Vocal Cord Lesions,Vocal cord lesions,1
Epidemiological Studies,Study Designs,1
Gram-Positive Bacteria,Pulmonology,1
Gram-positive Bacteria,Pulmonology,1
Infectious Diseases,Skin Rashes,1
Infectious Diseases,Vesiculobullous Lesions,1
Skin Rashes,Vesiculobullous Lesions,1
Cause Of Death,Cause of Death,1
Cause Of Death,Medical Jurisprudence,1
Cause Of Death,Thanatology,1
Cause of Death,Medical Jurisprudence,1
Cause of Death,Thanatology,1
Brain Malformations,Congenital Anomalies,1
Congenital Anomalies,Neuroimaging,1
Abdomen,Biliary System,1
Biliary System,Neuroanatomy,1
Dermatomes,Neuroanatomy,1
Internal Capsule,Neuroanatomy,1
Neck Anatomy,Neuroanatomy,1
Abdominal Vasculature,Neuroanatomy,1
Hand Anatomy,Muscle Physiology,1
Muscle Physiology,Upper Limb,1
Abdominal Anatomy,Abdominal Viscera,1
Abdominal Anatomy,Pancreas,1
Abdominal Viscera,Pancreas,1
Extracellular Matrix,Glomerular Filtration,1
Extracellular Matrix,Renal,1
Glomerular Filtration,Renal,1
Nerve Fiber Types,Neurophysiology,1
Nerve Fiber Types,Peripheral Nerves,1
Gastrointestinal,Reflexes,1
Demyelinating Diseases,Neurophysiology,1
Cardiology,Cerebral Circulation,1
Hematopathology,Iron Metabolism,1
Electrophysiology,Research Techniques,1
Neurophysiology,Research Techniques,1
Carbohydrate Metabolism,Hormone Regulation,1
Liver Function Tests,Pigment Metabolism,1
Adverse Drug Reactions,Vitamins & Nutrition,1
DNA Replication and Repair,Dna Replication And Repair,1
DNA Replication and Repair,Genetic Disorders,1
DNA Replication and Repair,Genetics & Molecular Biology,1
Dna Replication And Repair,Genetic Disorders,1
Dna Replication And Repair,Genetics & Molecular Biology,1
Cardiology,Metabolic Syndrome,1
Endocrinology,Metabolic Syndrome,1
Gene Expression,Gene Expression Regulation,1
Gene Expression Regulation,Genetics & Molecular Biology,1
Musculoskeletal Pathology,Neoplasia,1
Cellular Adaptations,Pulmonology,1
Endocrine,Thyroid Diseases,1
Thyroid Diseases,Thyroid Pathology,1
Hemostasis,Thrombosis,1
Cell biology,Cellular Movement,1
Cell biology,Immunology,1
Cellular Movement,Immunology,1
Anticancer drugs,Molecular targets,1
Antineoplastic Agents,Molecular targets,1
Drug classes,GI Pharmacology,1
Drug classes,Gastrointestinal,1
Drug classes,Gi Pharmacology,1
GI Pharmacology,Gastrointestinal,1
GI Pharmacology,Gi Pharmacology,1
Gastrointestinal,Gi Pharmacology,1
Anticancer drugs,Mechanism of action,1
Antineoplastic Agents,Mechanism of action,1
Antifungal drugs,Infectious Diseases,1
Antiemetics,Autonomic,1
Antihypertensives,Diuretics,1
Antimicrobial Resistance,Antimicrobials,1
Cell Signaling,Endocrinology,1
Cell Signaling,Receptor Mechanisms,1
Endocrinology,Receptor Mechanisms,1
Gout Treatment,Gout treatment,1
Gout Treatment,Musculoskeletal Pharmacology,1
Gout Treatment,Rheumatology,1
Gout treatment,Musculoskeletal Pharmacology,1
Gout treatment,Rheumatology,1
Musculoskeletal Pharmacology,Rheumatology,1
Antimicrobials,Drug Metabolism,1
Environmental Medicine,High Altitude Sickness,1
Autonomic,Cholinergic Agonists,1
Autonomic,Urological Drugs,1
Cholinergic Agonists,Urological Drugs,1
Antifungal Agents,Antifungal Drugs,1
Antifungal Agents,Systemic Mycoses,1
Antifungal Drugs,Systemic Mycoses,1
Adverse Drug Reactions,Antipsychotic Side Effects,1
Antipsychotic Side Effects,Antipsychotics,1
Cholinergic Drugs,Neuromuscular Blockers,1
Cholinergic Drugs,Neuromuscular Pharmacology,1
Drug Elimination,Drug Kinetics,1
Drug Kinetics,Pharmacokinetics,1
Child Abuse,Medical Jurisprudence,1
Child Abuse,Sexual Assault,1
Child Abuse,Sexual Assault Examination,1
Sexual Assault,Sexual Assault Examination,1
Substance Abuse,Substance Abuse Symptoms,1
Substance Abuse Symptoms,Toxicology,1
Identification,Sexual Assault,1
Medical Jurisprudence,Mental Health Act,1
Bacterial Culture Media,Bacteriology,1
Bacterial Culture Media,Labor & Delivery,1
Bacterial STIs,Bacterial Stis,1
Bacterial STIs,Bacteriology,1
Bacterial STIs,Infectious Diseases,1
Bacterial Stis,Bacteriology,1
Bacterial Stis,Infectious Diseases,1
Bacteriology,Urethritis Causes,1
Parasitology,Urethritis Causes,1
Bacterial Food Poisoning,Bacteriology,1
Bacterial Food Poisoning,Food Poisoning,1
HIV/AIDS,Parasitology,1
Chlamydia,Infectious Diseases,1
B Cell Activation,B cell activation,1
B cell activation,Immunology,1
Diagnostic Techniques,Hepatitis B Diagnosis,1
Diagnostic Techniques,Hepatitis B diagnosis,1
Diagnostic Techniques,Virology,1
Hepatitis B Diagnosis,Hepatitis B diagnosis,1
Hepatitis B Diagnosis,Virology,1
Hepatitis B diagnosis,Virology,1
Bacterial Virulence,Bacteriology,1
Bacterial Virulence,Neisseria Gonorrhoeae,1
Bacterial Virulence,Neisseria gonorrhoeae,1
Bacteriology,Neisseria Gonorrhoeae,1
Bacteriology,Neisseria gonorrhoeae,1
Biomedical waste management,Environmental Health,1
Biomedical waste management,Waste Management,1
Environment & Occupational Health,Factories Act,1
Factories Act,Public Health Legislation,1
Disaster Management,Immunization,1
Disaster Management,Infectious Diseases,1
Health Legislation,Social Security,1
Health Legislation,Tuberculosis,1
Social Security,Tuberculosis,1
Immunization,Tetanus Prophylaxis,1
Tetanus Prophylaxis,Wound Management,1
Behavioral Science,Health Management,1
Epidemiology,Public Health Goals,1
Public Health,Public Health Goals,1
Biostatistics,Measures Of Dispersion,1
Biostatistics,Measures of Dispersion,1
Measures Of Dispersion,Measures of Dispersion,1
Health Economics,Health Management,1
Screening,Screening Tests,1
Immunology,Neonatal Immunity,1
Neonatal Immunity,Neonatology,1
Legal aspects,Mental Healthcare Act,1
Legal aspects,Mental Healthcare Act 2017,1
Mental Healthcare Act,Mental Healthcare Act 2017,1
Biomedical Waste Management,Hospital Waste,1
Communicable Diseases,Environmental Health,1
Communicable Diseases,Waterborne Diseases,1
Environmental Health,Waterborne Diseases,1
Eye Health Programs,National Program For Control Of Blindness,1
Eye Health Programs,National Program for Control of Blindness,1
Eye Health Programs,Public Health Ophthalmology,1
National Program For Control Of Blindness,National Program for Control of Blindness,1
National Program For Control Of Blindness,Public Health Ophthalmology,1
National Program for Control of Blindness,Public Health Ophthalmology,1
Biostatistics,Gynecologic Oncology,1
Biostatistics,Screening,1
Gynecologic Oncology,Preventive Medicine,1
Preventive Medicine,Screening,1
Ear Anatomy,Neuroanatomy,1
Ear Anatomy,Reflexes,1
Neuroanatomy,Reflexes,1
Ear Surgery,Surgical Procedures,1
Otitis Media,Tuberculosis,1
Nasal Surgery,Rhinitis,1
Nasal Surgery,Surgical Procedures,1
Rhinitis,Surgical Procedures,1
Head & Neck,Paranasal Sinuses,1
Head & Neck,Radiographic Views,1
Kawasaki Syndrome,Systemic Diseases,1
Neuro-ophthalmology,Visual Pathway Lesions,1
Neuro-ophthalmology,Visual Pathways,1
Visual Pathway Lesions,Visual Pathways,1
Orbital Diseases,Orbital Pathology,1
Orbital Diseases,Proptosis,1
Orbital Pathology,Proptosis,1
Sympathetic Ophthalmitis,Trauma,1
Sympathetic Ophthalmitis,Uveitis,1
Macular Diseases,Macular Function Tests,1
Macular Diseases,Ophthalmic Investigations,1
Macular Function Tests,Ophthalmic Investigations,1
