topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Movement disorders,Medicine,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Muscle relaxants,Pharmacology,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Nasal Septum Surgery,ENT,2,2,"2013,2019",0.125,0,6,False,9.3,Low
Neonatal Dermatology,Dermatology,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Neonatal Skin Disorders,Dermatology,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Neonatal skin disorders,Dermatology,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Nerve injuries,Orthopedics,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Neural crest,Anatomy,2,2,"2015,2018",0.125,0,7,False,9.3,Low
Neurological disorders,Medicine,2,2,"2015,2019",0.125,0,6,False,9.3,Low
Neuromuscular Monitoring,Anaesthesia,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Normal Distribution,Community Medicine,2,2,"2014,2020",0.125,0,5,False,9.3,Low
Optic Disc,Ophthalmology,2,2,"2015,2018",0.125,0,7,False,9.3,Low
Otitis Media Complications,Radiology,2,2,"2013,2021",0.125,0,4,False,9.3,Low
Oxygen therapy,Medicine,2,2,"2014,2020",0.125,0,5,False,9.3,Low
PCR,Microbiology,2,2,"2013,2019",0.125,0,6,False,9.3,Low
Pelvic Pain,OBG,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Perinatal HIV,Pediatrics,2,2,"2011,2022",0.125,0,3,False,9.3,Low
Perinatal Hiv,Pediatrics,2,2,"2011,2022",0.125,0,3,False,9.3,Low
Perineal Tear,OBG,2,2,"2013,2020",0.125,0,5,False,9.3,Low
Postoperative Care,Surgery,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Postoperative care,Surgery,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Postpartum haemorrhage,OBG,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Pre-eclampsia Management,Anaesthesia,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Prioritization,Medicine,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Prophylaxis,Pediatrics,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Protein synthesis inhibitors,Pharmacology,2,2,"2012,2020",0.125,0,5,False,9.3,Low
Pulmonary function tests,Medicine,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Scarring,Surgery,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Sensory Pathways,Physiology,2,2,"2013,2019",0.125,0,6,False,9.3,Low
Sickle Cell Disease,Pediatrics,2,2,"2012,2022",0.125,0,3,False,9.3,Low
Sickle Cell Disease Complications,Pediatrics,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Skeletal Dysplasias,Orthopedics,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Skin Neoplasms,Dermatology,2,2,"2014,2020",0.125,0,5,False,9.3,Low
Skull Imaging,Radiology,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Smoking cessation,Pharmacology,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Spinal Cord Injury,Anatomy,2,2,"2010,2023",0.125,0,2,False,9.3,Low
Spinal Imaging,Radiology,2,2,"2013,2019",0.125,0,6,False,9.3,Low
Strychnine Poisoning,Forensic Medicine,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Strychnine poisoning,Forensic Medicine,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Surgical materials,Surgery,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Thyroid eye disease,Ophthalmology,2,2,"2012,2021",0.125,0,4,False,9.3,Low
Tic disorders,Psychiatry,2,2,"2015,2018",0.125,0,7,False,9.3,Low
Tinea Capitis,Dermatology,2,2,"2013,2021",0.125,0,4,False,9.3,Low
Toxoplasmosis,Microbiology,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Transfusion reactions,Pathology,2,2,"2015,2018",0.125,0,7,False,9.3,Low
Transplant Rejection,Pathology,2,2,"2015,2018",0.125,0,7,False,9.3,Low
Umbilical cord,OBG,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Uterine Imaging,Radiology,2,2,"2016,2017",0.125,0,8,False,9.3,Low
Vaginal discharge,OBG,2,2,"2015,2019",0.125,0,6,False,9.3,Low
Varicose Veins,Surgery,2,2,"2013,2021",0.125,0,4,False,9.3,Low
Vertebral column,Anatomy,2,2,"2014,2019",0.125,0,6,False,9.3,Low
Vesicovaginal Fistula,OBG,2,2,"2010,2022",0.125,0,3,False,9.3,Low
Vitamin deficiencies,Biochemistry,2,2,"2014,2018",0.125,0,7,False,9.3,Low
Water Balance,Physiology,2,2,"2014,2020",0.125,0,5,False,9.3,Low
Wrist Dislocations,Orthopedics,2,2,"2016,2018",0.125,0,7,False,9.3,Low
Acute scrotum,Surgery,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Adenoid,Anatomy,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Adrenergic Drugs,Pharmacology,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Alcoholic liver disease,Pathology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Amoebiasis,Microbiology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Anaesthesia depth,Anaesthesia,2,2,"2014,2017",0.125,0,8,False,9.2,Low
Anaesthesia monitoring,Anaesthesia,2,2,"2013,2017",0.125,0,8,False,9.2,Low
Anaesthetic Monitoring,Anaesthesia,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Aneurysms,Surgery,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Anorectal disorders,Surgery,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Anterior chamber angle,Ophthalmology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Anthrax,Microbiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Antibiotic therapy,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Antiepileptics,Pharmacology,2,2,"2010,2021",0.125,0,4,False,9.2,Low
Antihypertensive agents,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Antimicrobial Pharmacology,Pharmacology,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Antiparkinson drugs,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Antiretroviral Therapy,Community Medicine,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Aortic Diseases,Pathology,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Autism Spectrum Disorders,Psychiatry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Bacterial Characteristics,Microbiology,2,2,"2014,2017",0.125,0,8,False,9.2,Low
Bacterial pathogenesis,Microbiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Beta-2 agonists,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Biliary System Diseases,Surgery,2,2,"2011,2019",0.125,0,6,False,9.2,Low
Biochemical Techniques,Biochemistry,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Bones,Anatomy,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Brachial Plexus Injuries,Orthopedics,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Brain,Anatomy,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Brainstem Nuclei,Anatomy,2,2,"2012,2017",0.125,0,8,False,9.2,Low
Brainstem syndromes,Medicine,2,2,"2013,2017",0.125,0,8,False,9.2,Low
Breathing circuits,Anaesthesia,2,2,"2013,2017",0.125,0,8,False,9.2,Low
Cardiac Glycosides,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Chemotherapy Agents,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Chemotherapy agents,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Chest imaging,Radiology,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Chest radiology,Radiology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Chronic Otitis Media,ENT,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Classification,Community Medicine,2,2,"2013,2018",0.125,0,7,False,9.2,Low
Cleft Lip and Palate,Surgery,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Cleft Palate,Surgery,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Coagulation Cascade,Physiology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Contact Dermatitis,Dermatology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Cranial Nerve Disorders,ENT,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Cranial nerve anatomy,Anatomy,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Dactylitis,Medicine,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Data Analysis,Community Medicine,2,2,"2011,2019",0.125,0,6,False,9.2,Low
Definitions,OBG,2,2,"2013,2017",0.125,0,8,False,9.2,Low
Depth Of Anaesthesia,Anaesthesia,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Dermatitis Herpetiformis,Dermatology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Dermatitis herpetiformis,Dermatology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Descriptive Statistics,Community Medicine,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Diagnostic criteria,Psychiatry,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Diagnostics,Community Medicine,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Dialysis Complications,Medicine,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Diffusion,Physiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Dopamine agonists,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Drug Absorption,Pharmacology,2,2,"2014,2017",0.125,0,8,False,9.2,Low
Drug administration,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Edema,Pathology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Electrolyte disturbances,Medicine,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Electrolytes,Medicine,2,2,"2010,2020",0.125,0,5,False,9.2,Low
Emergency surgery,Surgery,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Enterobacteriaceae,Microbiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Enzyme Classification,Biochemistry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Enzyme Regulation,Biochemistry,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Enzyme classification,Biochemistry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Esophageal Perforation,ENT,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Extrapyramidal symptoms,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Eye anatomy,Ophthalmology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Familial Adenomatous Polyposis,Surgery,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Fetal Biometry,OBG,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Fluid Electrolyte Balance,Medicine,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Folic acid supplementation,OBG,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Foot And Ankle,Orthopedics,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Functional Bowel Disorders,Medicine,2,2,"2010,2020",0.125,0,5,False,9.2,Low
Gastric Disorders,Medicine,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Gastric Secretion,Physiology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Gastric cancer,Pathology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Gestational age assessment,OBG,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Glycemic Control,Biochemistry,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Glycosylation,Biochemistry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Gynaecological surgery,OBG,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Hand Surgery,Orthopedics,2,2,"2013,2018",0.125,0,7,False,9.2,Low
Head and neck neoplasms,ENT,2,2,"2013,2018",0.125,0,7,False,9.2,Low
Hearing,Physiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Hepatitis Viruses,Microbiology,2,2,"2013,2018",0.125,0,7,False,9.2,Low
Hepatotoxicity,Pharmacology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Hypertensive Retinopathy,Ophthalmology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Hypertensive retinopathy,Ophthalmology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Hysterosalpingography,Radiology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
IV Fluids,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Infantile Spasm,Pharmacology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Infantile spasm,Pharmacology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Intraoperative Monitoring,Anaesthesia,2,2,"2011,2018",0.125,0,7,False,9.2,Low
Keratoconus,Ophthalmology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Ketamine,Pharmacology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Kidney Function Tests,Biochemistry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Kyphosis,Orthopedics,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Laryngeal mask airway,Anaesthesia,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Lipids,Biochemistry,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Liver Disease,Medicine,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Liver Metabolism,Biochemistry,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Lumbar Canal Stenosis,Orthopedics,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Lumbar canal stenosis,Orthopedics,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Lung Abscess,Medicine,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Lymph Node Pathology,Pathology,2,2,"2011,2020",0.125,0,5,False,9.2,Low
MRSA,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Macular disorders,Ophthalmology,2,2,"2011,2020",0.125,0,5,False,9.2,Low
Mastectomy,Surgery,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Maternal Physiology,OBG,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Meningococcal vaccine,Microbiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Microcytic anemia,Pathology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Molecular targeted therapy,Pharmacology,2,2,"2011,2020",0.125,0,5,False,9.2,Low
Muscarinic Antagonists,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Muscarinic antagonists,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Myositis Ossificans,Orthopedics,2,2,"2013,2016",0.125,0,9,False,9.2,Low
NADPH Production,Biochemistry,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Necrosis,Pathology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Neuroleptic Malignant Syndrome,Pharmacology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Neuroleptic malignant syndrome,Pharmacology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Nutrient absorption,Biochemistry,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Occupational poisoning,Forensic Medicine,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Ocular Manifestations,Pediatrics,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Ocular Motility Disorders,Ophthalmology,2,2,"2011,2020",0.125,0,5,False,9.2,Low
Oral Cavity Cancer,Surgery,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Ovarian reserve,OBG,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Pde5 Inhibitors,Pharmacology,2,2,"2014,2017",0.125,0,8,False,9.2,Low
Pelvic Floor Disorders,Surgery,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Pelvic Girdle,Anatomy,2,2,"2014,2017",0.125,0,8,False,9.2,Low
Pemphigus Vulgaris,Dermatology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Peripheral Nerve Entrapment,Orthopedics,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Pertussis,Microbiology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Pityriasis Rosea,Dermatology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Pityriasis rosea,Dermatology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Plant Poisoning,Pharmacology,2,2,"2010,2021",0.125,0,4,False,9.2,Low
Posterior staphyloma,Ophthalmology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Postmortem Findings,Forensic Medicine,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Precancerous Lesions,Pathology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Protein synthesis,Biochemistry,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Psychiatric management,Psychiatry,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Public health,Community Medicine,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Pulmonary manifestations,Medicine,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Putrefaction,Forensic Medicine,2,2,"2013,2017",0.125,0,8,False,9.2,Low
Refractive surgery,Ophthalmology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Regional Anesthesia,Anaesthesia,2,2,"2013,2018",0.125,0,7,False,9.2,Low
Regression Analysis,Community Medicine,2,2,"2011,2020",0.125,0,5,False,9.2,Low
Renin-angiotensin system,Pharmacology,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Routes Of Administration,Pharmacology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Rural Health,Community Medicine,2,2,"2010,2019",0.125,0,6,False,9.2,Low
Salmonella,Microbiology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Skin Pathology,Surgery,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Skin cancer,Dermatology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Skull base,Anatomy,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Slipped Capital Femoral Epiphysis,Orthopedics,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Specimen collection,Microbiology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Spinal Canal Stenosis,Orthopedics,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Spinal imaging,Radiology,2,2,"2012,2019",0.125,0,6,False,9.2,Low
Spirochetes,Microbiology,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Spleen pathology,Pathology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Spondylolisthesis,Orthopedics,2,2,"2012,2018",0.125,0,7,False,9.2,Low
Statins,Pharmacology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Surgical management,Surgery,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Surgical prophylaxis,Surgery,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Surgical techniques,Ophthalmology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Syndromes,Pathology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Tamoxifen,Pharmacology,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Thoracic anatomy,Surgery,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Thymus,Anatomy,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Tibialis anterior,Anatomy,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Tinnitus,ENT,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Traction,Orthopedics,2,2,"2013,2016",0.125,0,9,False,9.2,Low
Typhoid fever,Medicine,2,2,"2014,2016",0.125,0,9,False,9.2,Low
Urea cycle,Biochemistry,2,2,"2015,2016",0.125,0,9,False,9.2,Low
Vagus nerve,ENT,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Vision loss,Ophthalmology,2,2,"2014,2015",0.125,0,10,False,9.2,Low
Absorption,Physiology,2,2,"2011,2016",0.125,0,9,False,9.1,Low
Acne Vulgaris,Dermatology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Air pollution,Community Medicine,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Anal Canal,Anatomy,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Anal Fissure,Pediatrics,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Anal fissure,Pediatrics,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Apolipoproteins,Biochemistry,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Aspiration Prophylaxis,Anaesthesia,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Autopsy technique,Forensic Medicine,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Bacterial Morphology,Microbiology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Bacterial Pathogenesis,Microbiology,2,2,"2010,2016",0.125,0,9,False,9.1,Low
Bacterial Vaginosis,Microbiology,2,2,"2011,2016",0.125,0,9,False,9.1,Low
Behçet's disease,Dermatology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Beta-blockers,Pharmacology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Bile secretion,Physiology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Biliary Disease,Surgery,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Biliary disease,Surgery,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Birth injuries,OBG,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Bone Neoplasms,Pathology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Calcium channel blockers,Pharmacology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Cannabis,Psychiatry,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Cardiac Radiology,Radiology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Carpal Tunnel Syndrome,Orthopedics,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Cell Adhesion,Physiology,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Cell Adhesion Molecules,Physiology,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Cell Cycle,Pathology,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Cell adhesion molecules,Physiology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Cephalosporins,Pharmacology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Chelating Agents,Pharmacology,2,2,"2010,2018",0.125,0,7,False,9.1,Low
Child And Adolescent Psychiatry,Psychiatry,2,2,"2010,2017",0.125,0,8,False,9.1,Low
Child and Adolescent Psychiatry,Psychiatry,2,2,"2010,2017",0.125,0,8,False,9.1,Low
Clinical signs,Surgery,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Colposcopy,OBG,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Compartment syndrome,Orthopedics,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Coronary arteries,Anatomy,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Corrosive poisoning,Forensic Medicine,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Cutaneous Tuberculosis,Dermatology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Cysts,Surgery,2,2,"2010,2018",0.125,0,7,False,9.1,Low
Dehydration Management,Pediatrics,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Diabetes insipidus,Pharmacology,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Digestion and Absorption,Biochemistry,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Dopamine receptors,Pharmacology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Drug Monitoring,Pharmacology,2,2,"2010,2017",0.125,0,8,False,9.1,Low
Ectopia Lentis,Ophthalmology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Elbow,Orthopedics,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Elbow disorders,Orthopedics,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Electrophoresis,Biochemistry,2,2,"2010,2016",0.125,0,9,False,9.1,Low
Emergency Psychiatry,Psychiatry,2,2,"2010,2016",0.125,0,9,False,9.1,Low
Endometrial Carcinoma,Pathology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Endometrial Hyperplasia,OBG,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Endometrial carcinoma,Pathology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Erectile dysfunction,Pharmacology,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Extracellular matrix,Biochemistry,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Eyelid anatomy,Ophthalmology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Feeding And Eating Disorders,Psychiatry,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Fetal medicine,OBG,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Folate metabolism,Biochemistry,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Gas Laws,Physiology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Gynaecological Cancers,OBG,2,2,"2010,2018",0.125,0,7,False,9.1,Low
Hallux Valgus,Orthopedics,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Hand Injuries,Orthopedics,2,2,"2012,2015",0.125,0,10,False,9.1,Low
Hand Spaces,Anatomy,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Head And Neck Neoplasms,Surgery,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Health Statistics,Community Medicine,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Hemorrhagic Shock,Medicine,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Hormonal Contraceptives,Pharmacology,2,2,"2011,2016",0.125,0,9,False,9.1,Low
Infective endocarditis,Microbiology,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Koebner Phenomenon,Dermatology,2,2,"2011,2016",0.125,0,9,False,9.1,Low
Korsakoff Syndrome,Psychiatry,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Lacrimal system,Ophthalmology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Larynx Anatomy,Anatomy,2,2,"2010,2017",0.125,0,8,False,9.1,Low
Malignant Hyperthermia,Anaesthesia,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Maternal physiology,OBG,2,2,"2011,2015",0.125,0,10,False,9.1,Low
Motor pathways,Physiology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Mycobacteria,Microbiology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Neonatal diagnosis,OBG,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Neonatal intestinal obstruction,Radiology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Neonatal jaundice,Pediatrics,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Neurological Assessment,Medicine,2,2,"2011,2016",0.125,0,9,False,9.1,Low
Nevi,Dermatology,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Nucleotides,Biochemistry,2,2,"2012,2014",0.125,0,11,False,9.1,Low
Obstructive lung disease,Medicine,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Oncogenic viruses,Microbiology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Ophthalmic Surgery,Ophthalmology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Opioid receptors,Pharmacology,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Oral anticoagulants,Pharmacology,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Physical examination,Orthopedics,2,2,"2013,2015",0.125,0,10,False,9.1,Low
Pica,Psychiatry,2,2,"2013,2014",0.125,0,11,False,9.1,Low
Pleural Diseases,Surgery,2,2,"2012,2016",0.125,0,9,False,9.1,Low
Pleural effusion,Medicine,2,2,"2013,2014",0.125,0,11,False,9.1,Low
