topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Interventional Radiology,Radiology,293,15,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,83.6,Must
Cornea & Refractive,Ophthalmology,142,15,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,7,0,False,83.6,Must
Biochemistry,Biochemistry,361,15,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,15,0,False,83.5,Must
CNS Physiology,Physiology,190,15,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.938,7,0,False,83.5,Must
Head & Neck,Anatomy,149,14,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.875,26,0,False,83.0,Must
Medical Jurisprudence,Forensic Medicine,87,13,"2010,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.812,10,1,True,83.0,Must
Spine,Orthopedics,56,13,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024",0.812,5,1,True,82.8,Must
Thorax,Anatomy,195,14,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.875,27,0,False,82.6,Must
X-ray,Radiology,38,14,"2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.875,5,0,False,82.6,Must
Biostatistics,Community Medicine,121,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024,2025",0.875,15,0,False,82.5,Must
Mood Disorders,Psychiatry,47,12,"2010,2011,2012,2013,2014,2015,2016,2019,2020,2021,2022,2023",0.75,0,2,True,82.5,Must
Lymphoma,Pathology,32,12,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",0.75,0,3,True,82.5,Must
Contraception,OBG,76,13,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.812,4,1,True,82.4,Must
Cranial Nerves,Anatomy,60,14,"2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.875,7,0,False,82.4,Must
Retina,Ophthalmology,132,13,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.812,5,1,True,82.3,Must
Immunization,Community Medicine,101,13,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.812,4,1,True,82.3,Must
National Health Programs,Community Medicine,65,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2024,2025",0.875,7,0,False,82.3,Must
Inborn Errors of Metabolism,Biochemistry,47,14,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",0.875,5,0,False,82.3,Must
Neuro-ophthalmology,Ophthalmology,54,13,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2024",0.812,2,1,True,82.2,Must
