recent_count,older_count,recent_share,older_share,delta_share,topic
4.0,6.0,0.000662471016893011,0.00017071643999317133,0.0004917545768998396,Medical jurisprudence
34.0,181.0,0.005631003643590593,0.0051499459397940026,0.00048105770379659046,Parasitology
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Laryngeal Muscles
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Vaginal Discharge
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Clinical Anatomy
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Obstetric Procedures
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Uterine Involution
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Leukemias
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Abdominal Radiology
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Orbital Disorders
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Paediatric Emergencies
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Genitourinary Radiology
3.0,1.0,0.0004968532626697582,2.845273999886189e-05,0.00046840052267089637,Dna Repair
15.0,71.0,0.002484266313348791,0.002020144539919194,0.0004641217734295969,Antimicrobials
4.0,7.0,0.000662471016893011,0.00019916917999203323,0.0004633018369009777,Hearing Loss
16.0,77.0,0.002649884067572044,0.0021908609799123654,0.00045902308765967837,Glaucoma
41.0,223.0,0.006790327923153362,0.006344961019746202,0.0004453669034071607,Carbohydrate Metabolism
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Episiotomy
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Trauma Surgery
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Copper Metabolism
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Visual Fields
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Heme synthesis
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Post-Mortem Changes
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Nasal Surgery
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Sepsis
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Hip disorders
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Connective tissue disorders
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Pheochromocytoma
3.0,2.0,0.0004968532626697582,5.690547999772378e-05,0.00043994778267203444,Anticoagulation
4.0,8.0,0.000662471016893011,0.00022762191999089513,0.00043484909690211584,Glycosaminoglycans
4.0,8.0,0.000662471016893011,0.00022762191999089513,0.00043484909690211584,Acid-Base Disorders
